date,open,high,low,close,volume
2026-08-14,6.58,6.592,6.58,6.589,17
2026-08-17,6.604,6.604,6.595,6.595,9
2026-08-18,6.549,6.549,6.45,6.483,41
2026-08-19,6.459,6.4875,6.459,6.4875,14
2026-08-20,6.406,6.4615,6.406,6.4615,18
2026-08-21,6.5685,6.5815,6.564,6.5755,18
2026-08-24,6.618,6.618,6.614,6.614,8
2026-08-25,6.7005,6.7095,6.7005,6.7095,17
2026-08-26,6.75,6.75,6.5895,6.5895,30
2026-08-28,6.5845,6.6445,6.534,6.5465,2051
2026-08-30,6.5185,6.5475,6.517,6.5475,5
2026-08-31,6.533,6.6175,6.528,6.605,385
2026-09-01,6.6235,6.6395,6.429,6.4375,503
2026-09-02,6.457,6.542,6.415,6.512,551
2026-09-03,6.537,6.58,6.5365,6.577,100
2026-09-04,6.5955,6.5985,6.5705,6.5805,23
2026-09-06,6.587,6.587,6.587,6.587,1
2026-09-07,6.62,6.645,6.62,6.645,3
2026-09-08,6.71,6.7825,6.7085,6.7395,100
2026-09-09,6.663,6.8055,6.663,6.776,60
2026-09-10,6.7525,6.7525,6.4415,6.4415,641
2026-09-11,6.4475,6.484,6.4475,6.4695,23
2026-09-14,6.41,6.41,6.281,6.3195,129
